#
Not MAP,MAPwindow,isRPM,Sensor,MAP ADC,RPM,Tooth No,MAP
0.000,0.000,0.000,0.000,341.000,1491.000,2.000,93.333
0.000,0.000,0.000,0.000,343.000,1491.000,2.000,93.822
0.000,0.000,0.000,0.000,344.000,1491.000,2.000,94.066
0.000,0.000,0.000,0.000,344.000,1491.000,2.000,94.066
0.000,0.000,0.000,0.000,344.000,1491.000,2.000,94.066
0.000,0.000,0.000,0.000,344.000,1491.000,2.000,94.066
0.000,0.000,0.000,0.000,344.000,1491.000,2.000,94.066
0.000,0.000,0.000,0.000,344.000,1491.000,2.000,94.066
0.000,0.000,0.000,0.000,344.000,1491.000,2.000,94.066
0.000,0.000,0.000,0.000,343.000,1491.000,2.000,93.822
0.000,0.000,0.000,0.000,339.000,1491.000,2.000,92.845
0.000,0.000,0.000,0.000,330.000,1491.000,2.000,90.645
0.000,0.000,0.000,0.000,320.000,1491.000,2.000,88.201
0.000,0.000,0.000,0.000,298.000,1491.000,2.000,82.825
0.000,0.000,0.000,0.000,289.000,1491.000,2.000,80.626
0.000,0.000,0.000,0.000,288.000,1491.000,2.000,80.381
0.000,0.000,0.000,0.000,297.000,1491.000,2.000,82.581
0.000,0.000,0.000,0.000,306.000,1491.000,2.000,84.780
0.000,0.000,0.000,0.000,316.000,1491.000,2.000,87.224
0.000,0.000,0.000,0.000,325.000,1491.000,2.000,89.423
0.000,0.000,0.000,0.000,332.000,1491.000,2.000,91.134
0.000,0.000,0.000,0.000,332.000,1491.000,2.000,91.134
0.000,0.000,0.000,0.000,329.000,1491.000,2.000,90.401
0.000,0.000,0.000,0.000,323.000,1491.000,2.000,88.935
0.000,0.000,0.000,0.000,319.000,1491.000,2.000,87.957
0.000,0.000,0.000,0.000,317.000,1491.000,2.000,87.468
0.000,0.000,0.000,0.000,318.000,1491.000,2.000,87.713
0.000,0.000,0.000,0.000,323.000,1491.000,2.000,88.935
0.000,0.000,0.000,0.000,328.000,1491.000,2.000,90.156
0.000,0.000,0.000,0.000,335.000,1491.000,2.000,91.867
0.000,0.000,0.000,0.000,338.000,1491.000,2.000,92.600
0.000,0.000,0.000,0.000,339.000,1491.000,2.000,92.845
0.000,0.000,0.000,0.000,338.000,1491.000,2.000,92.600
0.000,0.000,0.000,0.000,336.000,1491.000,2.000,92.111
0.000,0.000,0.000,0.000,333.000,1491.000,2.000,91.378
0.000,0.000,0.000,0.000,332.000,1491.000,2.000,91.134
0.000,0.000,0.000,0.000,331.000,1491.000,2.000,90.890
0.000,0.000,0.000,0.000,332.000,1491.000,2.000,91.134
0.000,0.000,0.000,0.000,330.000,1491.000,2.000,90.645
0.000,0.000,0.000,0.000,328.000,1491.000,2.000,90.156
0.000,0.000,0.000,0.000,324.000,1491.000,2.000,89.179
0.000,0.000,0.000,0.000,318.000,1491.000,2.000,87.713
0.000,0.000,0.000,0.000,317.000,1491.000,2.000,87.468
0.000,0.000,0.000,0.000,318.000,1491.000,2.000,87.713
0.000,0.000,0.000,0.000,323.000,1491.000,2.000,88.935
0.000,0.000,0.000,0.000,327.000,1491.000,2.000,89.912
0.000,0.000,0.000,0.000,332.000,1491.000,2.000,91.134
0.000,0.000,0.000,0.000,336.000,1491.000,2.000,92.111
0.000,0.000,0.000,0.000,339.000,1491.000,2.000,92.845
0.000,0.000,0.000,0.000,339.000,1491.000,2.000,92.845
0.000,0.000,0.000,0.000,338.000,1491.000,2.000,92.600
0.000,0.000,0.000,0.000,334.000,1491.000,2.000,91.623
0.000,0.000,0.000,0.000,331.000,1491.000,2.000,90.890
0.000,1.000,0.000,0.000,328.000,1491.000,2.000,90.156
0.000,1.000,0.000,0.000,325.000,1491.000,2.000,89.423
0.000,1.000,0.000,0.000,319.000,1491.000,2.000,87.957
0.000,1.000,0.000,0.000,316.000,1491.000,2.000,87.224
0.000,1.000,0.000,0.000,314.000,1491.000,2.000,86.735
0.000,1.000,0.000,0.000,313.000,1491.000,2.000,86.491
1.000,1.000,0.000,0.000,313.000,1491.000,1.000,86.491
0.000,1.000,0.000,0.000,315.000,1491.000,1.000,86.979
0.000,1.000,0.000,0.000,316.000,1491.000,1.000,87.224
0.000,1.000,0.000,0.000,315.000,1491.000,1.000,86.979
0.000,1.000,0.000,0.000,310.000,1491.000,1.000,85.758
0.000,1.000,0.000,0.000,305.000,1491.000,1.000,84.536
0.000,1.000,0.000,0.000,300.000,1491.000,1.000,83.314
0.000,1.000,0.000,0.000,296.000,1491.000,1.000,82.336
0.000,1.000,0.000,0.000,296.000,1491.000,1.000,82.336
0.000,1.000,0.000,0.000,297.000,1491.000,1.000,82.581
0.000,1.000,0.000,0.000,298.000,1491.000,1.000,82.825
0.000,1.000,0.000,0.000,297.000,1491.000,1.000,82.581
0.000,1.000,0.000,0.000,293.000,1491.000,1.000,81.603
0.000,1.000,0.000,0.000,289.000,1491.000,1.000,80.626
0.000,1.000,0.000,0.000,284.000,1491.000,1.000,79.404
0.000,1.000,0.000,0.000,283.000,1491.000,1.000,79.159
0.000,1.000,0.000,0.000,284.000,1491.000,1.000,79.404
0.000,1.000,0.000,0.000,285.000,1491.000,1.000,79.648
0.000,1.000,0.000,0.000,286.000,1491.000,1.000,79.892
0.000,1.000,0.000,0.000,283.000,1491.000,1.000,79.159
0.000,1.000,0.000,0.000,279.000,1491.000,1.000,78.182
0.000,1.000,0.000,0.000,274.000,1491.000,1.000,76.960
0.000,1.000,0.000,0.000,272.000,1491.000,1.000,76.471
0.000,1.000,0.000,0.000,273.000,1491.000,1.000,76.716
0.000,1.000,0.000,0.000,275.000,1491.000,1.000,77.204
0.000,1.000,0.000,0.000,278.000,1491.000,1.000,77.937
0.000,1.000,0.000,0.000,277.000,1491.000,1.000,77.693
0.000,1.000,0.000,0.000,275.000,1491.000,1.000,77.204
0.000,1.000,0.000,0.000,270.000,1491.000,1.000,75.982
0.000,1.000,0.000,0.000,268.000,1491.000,1.000,75.494
0.000,1.000,0.000,0.000,267.000,1491.000,1.000,75.249
0.000,1.000,0.000,0.000,268.000,1491.000,1.000,75.494
0.000,1.000,0.000,0.000,271.000,1491.000,1.000,76.227
0.000,1.000,0.000,0.000,273.000,1491.000,1.000,76.716
0.000,1.000,0.000,0.000,273.000,1491.000,1.000,76.716
0.000,1.000,0.000,0.000,271.000,1491.000,1.000,76.227
0.000,1.000,0.000,0.000,269.000,1491.000,1.000,75.738
0.000,1.000,0.000,0.000,268.000,1491.000,1.000,75.494
0.000,1.000,0.000,0.000,268.000,1491.000,1.000,75.494
0.000,1.000,0.000,0.000,271.000,1491.000,1.000,76.227
0.000,1.000,0.000,0.000,272.000,1491.000,1.000,76.471
0.000,1.000,0.000,0.000,273.000,1491.000,1.000,76.716
0.000,1.000,0.000,0.000,273.000,1491.000,1.000,76.716
0.000,1.000,0.000,0.000,272.000,1491.000,1.000,76.471
0.000,1.000,0.000,0.000,272.000,1491.000,1.000,76.471
0.000,1.000,0.000,0.000,272.000,1491.000,1.000,76.471
0.000,1.000,0.000,0.000,274.000,1491.000,1.000,76.960
0.000,1.000,0.000,0.000,275.000,1491.000,1.000,77.204
0.000,1.000,0.000,0.000,277.000,1491.000,1.000,77.693
0.000,1.000,0.000,0.000,278.000,1491.000,1.000,77.937
0.000,1.000,0.000,0.000,278.000,1491.000,1.000,77.937
0.000,1.000,0.000,0.000,278.000,1491.000,1.000,77.937
0.000,1.000,0.000,0.000,278.000,1491.000,1.000,77.937
0.000,1.000,0.000,0.000,281.000,1491.000,1.000,78.671
0.000,1.000,0.000,0.000,282.000,1491.000,1.000,78.915
0.000,1.000,0.000,0.000,284.000,1491.000,1.000,79.404
0.000,1.000,0.000,0.000,287.000,1491.000,1.000,80.137
0.000,1.000,0.000,0.000,288.000,1491.000,1.000,80.381
0.000,1.000,0.000,0.000,290.000,1491.000,1.000,80.870
0.000,1.000,0.000,0.000,291.000,1491.000,1.000,81.114
0.000,1.000,0.000,0.000,292.000,1491.000,1.000,81.359
0.000,1.000,0.000,0.000,293.000,1491.000,1.000,81.603
0.000,1.000,0.000,0.000,294.000,1491.000,1.000,81.848
0.000,1.000,0.000,0.000,297.000,1491.000,1.000,82.581
0.000,1.000,0.000,0.000,298.000,1491.000,1.000,82.825
0.000,1.000,0.000,0.000,300.000,1491.000,1.000,83.314
0.000,1.000,0.000,0.000,302.000,1491.000,1.000,83.803
0.000,1.000,0.000,0.000,304.000,1491.000,1.000,84.291
0.000,1.000,0.000,0.000,305.000,1491.000,1.000,84.536
0.000,1.000,0.000,0.000,306.000,1491.000,1.000,84.780
0.000,1.000,0.000,0.000,308.000,1491.000,1.000,85.269
0.000,1.000,0.000,0.000,309.000,1491.000,1.000,85.513
0.000,1.000,0.000,0.000,310.000,1491.000,1.000,85.758
0.000,0.000,0.000,0.000,311.000,1491.000,1.000,86.002
0.000,0.000,0.000,0.000,313.000,1491.000,1.000,86.491
0.000,0.000,0.000,0.000,315.000,1491.000,1.000,86.979
0.000,0.000,0.000,0.000,316.000,1491.000,1.000,87.224
0.000,0.000,0.000,0.000,318.000,1491.000,1.000,87.713
0.000,0.000,0.000,0.000,319.000,1491.000,1.000,87.957
0.000,0.000,0.000,0.000,320.000,1491.000,1.000,88.201
0.000,0.000,0.000,0.000,321.000,1491.000,1.000,88.446
0.000,0.000,0.000,0.000,322.000,1491.000,1.000,88.690
0.000,0.000,0.000,0.000,323.000,1491.000,1.000,88.935
0.000,0.000,0.000,0.000,324.000,1491.000,1.000,89.179
0.000,0.000,0.000,0.000,325.000,1491.000,1.000,89.423
0.000,0.000,0.000,0.000,326.000,1491.000,1.000,89.668
0.000,0.000,0.000,0.000,327.000,1491.000,1.000,89.912
0.000,0.000,0.000,0.000,328.000,1491.000,1.000,90.156
0.000,0.000,0.000,0.000,330.000,1491.000,1.000,90.645
0.000,0.000,0.000,0.000,331.000,1491.000,1.000,90.890
0.000,0.000,0.000,0.000,331.000,1491.000,1.000,90.890
0.000,0.000,0.000,0.000,333.000,1491.000,1.000,91.378
0.000,0.000,0.000,0.000,333.000,1491.000,1.000,91.378
0.000,0.000,0.000,0.000,334.000,1491.000,1.000,91.623
0.000,0.000,0.000,0.000,335.000,1491.000,1.000,91.867
0.000,0.000,0.000,0.000,336.000,1491.000,1.000,92.111
0.000,0.000,0.000,0.000,336.000,1491.000,1.000,92.111
0.000,0.000,0.000,0.000,337.000,1491.000,1.000,92.356
0.000,0.000,0.000,0.000,338.000,1491.000,1.000,92.600
0.000,0.000,0.000,0.000,339.000,1491.000,1.000,92.845
0.000,0.000,0.000,0.000,340.000,1491.000,1.000,93.089
0.000,0.000,0.000,0.000,341.000,1491.000,1.000,93.333
0.000,0.000,0.000,0.000,342.000,1491.000,1.000,93.578
0.000,0.000,0.000,0.000,343.000,1491.000,1.000,93.822
0.000,0.000,0.000,0.000,343.000,1491.000,1.000,93.822
0.000,0.000,0.000,0.000,343.000,1491.000,1.000,93.822
0.000,0.000,0.000,0.000,343.000,1491.000,1.000,93.822
0.000,0.000,0.000,0.000,342.000,1491.000,1.000,93.578
0.000,0.000,0.000,0.000,342.000,1491.000,1.000,93.578
0.000,0.000,0.000,0.000,343.000,1491.000,1.000,93.822
0.000,0.000,0.000,0.000,343.000,1491.000,1.000,93.822
0.000,0.000,0.000,0.000,340.000,1491.000,1.000,93.089
0.000,0.000,0.000,0.000,329.000,1491.000,1.000,90.401
0.000,0.000,0.000,0.000,315.000,1491.000,1.000,86.979
0.000,0.000,0.000,0.000,300.000,1491.000,1.000,83.314
0.000,0.000,0.000,0.000,286.000,1491.000,1.000,79.892
0.000,0.000,0.000,0.000,281.000,1491.000,1.000,78.671
0.000,0.000,0.000,0.000,286.000,1491.000,1.000,79.892
0.000,0.000,0.000,0.000,295.000,1491.000,1.000,82.092
0.000,0.000,0.000,0.000,312.000,1491.000,1.000,86.246
0.000,0.000,0.000,0.000,322.000,1491.000,1.000,88.690
0.000,0.000,0.000,0.000,329.000,1491.000,1.000,90.401
0.000,0.000,0.000,0.000,331.000,1491.000,1.000,90.890
0.000,0.000,0.000,0.000,327.000,1491.000,1.000,89.912
0.000,0.000,0.000,0.000,323.000,1491.000,1.000,88.935
0.000,0.000,0.000,0.000,317.000,1491.000,1.000,87.468
0.000,0.000,0.000,0.000,313.000,1491.000,1.000,86.491
0.000,0.000,0.000,0.000,314.000,1491.000,1.000,86.735
0.000,0.000,0.000,0.000,317.000,1491.000,1.000,87.468
0.000,0.000,0.000,0.000,322.000,1491.000,1.000,88.690
0.000,0.000,0.000,0.000,329.000,1491.000,1.000,90.401
0.000,0.000,0.000,0.000,334.000,1491.000,1.000,91.623
0.000,0.000,0.000,0.000,336.000,1491.000,1.000,92.111
0.000,0.000,0.000,0.000,335.000,1491.000,1.000,91.867
0.000,0.000,0.000,0.000,334.000,1491.000,1.000,91.623
0.000,0.000,0.000,0.000,331.000,1491.000,1.000,90.890
0.000,0.000,0.000,0.000,329.000,1491.000,1.000,90.401
0.000,0.000,0.000,0.000,327.000,1491.000,1.000,89.912
0.000,0.000,0.000,0.000,327.000,1491.000,1.000,89.912
0.000,0.000,0.000,0.000,326.000,1491.000,1.000,89.668
0.000,0.000,0.000,0.000,323.000,1491.000,1.000,88.935
0.000,0.000,0.000,0.000,321.000,1491.000,1.000,88.446
0.000,0.000,0.000,0.000,318.000,1491.000,1.000,87.713
0.000,0.000,0.000,0.000,317.000,1491.000,1.000,87.468
0.000,0.000,0.000,0.000,318.000,1491.000,1.000,87.713
0.000,0.000,0.000,0.000,320.000,1491.000,1.000,88.201
0.000,0.000,0.000,0.000,323.000,1491.000,1.000,88.935
0.000,1.000,0.000,0.000,328.000,1491.000,1.000,90.156
0.000,1.000,0.000,0.000,328.000,1491.000,1.000,90.156
0.000,1.000,0.000,0.000,327.000,1491.000,1.000,89.912
0.000,1.000,0.000,0.000,324.000,1491.000,1.000,89.179
0.000,1.000,0.000,0.000,317.000,1491.000,1.000,87.468
0.000,1.000,0.000,0.000,312.000,1491.000,1.000,86.246
0.000,1.000,0.000,0.000,307.000,1491.000,1.000,85.024
0.000,1.000,0.000,0.000,304.000,1491.000,1.000,84.291
0.000,1.000,0.000,0.000,302.000,1491.000,1.000,83.803
1.000,1.000,0.000,0.000,302.000,1491.000,2.000,83.803
0.000,1.000,0.000,0.000,302.000,1491.000,2.000,83.803
0.000,1.000,0.000,0.000,302.000,1491.000,2.000,83.803
0.000,1.000,0.000,0.000,301.000,1491.000,2.000,83.558
0.000,1.000,0.000,0.000,300.000,1491.000,2.000,83.314
0.000,1.000,0.000,0.000,298.000,1491.000,2.000,82.825
0.000,1.000,0.000,0.000,294.000,1491.000,2.000,81.848
0.000,1.000,0.000,0.000,291.000,1491.000,2.000,81.114
0.000,1.000,0.000,0.000,289.000,1491.000,2.000,80.626
0.000,1.000,0.000,0.000,287.000,1491.000,2.000,80.137
0.000,1.000,0.000,0.000,284.000,1491.000,2.000,79.404
0.000,1.000,0.000,0.000,282.000,1491.000,2.000,78.915
0.000,1.000,0.000,0.000,281.000,1491.000,2.000,78.671
0.000,1.000,0.000,0.000,279.000,1491.000,2.000,78.182
0.000,1.000,0.000,0.000,279.000,1491.000,2.000,78.182
0.000,1.000,0.000,0.000,278.000,1491.000,2.000,77.937
0.000,1.000,0.000,0.000,277.000,1491.000,2.000,77.693
0.000,1.000,0.000,0.000,275.000,1491.000,2.000,77.204
0.000,1.000,0.000,0.000,273.000,1491.000,2.000,76.716
0.000,1.000,0.000,0.000,271.000,1491.000,2.000,76.227
0.000,1.000,0.000,0.000,268.000,1491.000,2.000,75.494
0.000,1.000,0.000,0.000,267.000,1491.000,2.000,75.249
0.000,1.000,0.000,0.000,266.000,1491.000,2.000,75.005
0.000,1.000,0.000,0.000,267.000,1491.000,2.000,75.249
0.000,1.000,0.000,0.000,267.000,1491.000,2.000,75.249
0.000,1.000,0.000,0.000,266.000,1491.000,2.000,75.005
0.000,1.000,0.000,0.000,270.000,1491.000,2.000,75.982
0.000,1.000,0.000,0.000,263.000,1491.000,2.000,74.272
0.000,1.000,0.000,0.000,262.000,1491.000,2.000,74.027
0.000,1.000,0.000,0.000,262.000,1491.000,2.000,74.027
0.000,1.000,0.000,0.000,262.000,1491.000,2.000,74.027
0.000,1.000,0.000,0.000,263.000,1491.000,2.000,74.272
0.000,1.000,0.000,0.000,263.000,1491.000,2.000,74.272
0.000,1.000,0.000,0.000,263.000,1491.000,2.000,74.272
0.000,1.000,0.000,0.000,262.000,1491.000,2.000,74.027
0.000,1.000,0.000,0.000,261.000,1491.000,2.000,73.783
0.000,1.000,0.000,0.000,261.000,1491.000,2.000,73.783
0.000,1.000,0.000,0.000,261.000,1491.000,2.000,73.783
0.000,1.000,0.000,0.000,263.000,1491.000,2.000,74.272
0.000,1.000,0.000,0.000,264.000,1491.000,2.000,74.516
0.000,1.000,0.000,0.000,265.000,1491.000,2.000,74.761
0.000,1.000,0.000,0.000,265.000,1491.000,2.000,74.761
0.000,1.000,0.000,0.000,264.000,1491.000,2.000,74.516
0.000,1.000,0.000,0.000,263.000,1491.000,2.000,74.272
0.000,1.000,0.000,0.000,264.000,1491.000,2.000,74.516
0.000,1.000,0.000,0.000,266.000,1491.000,2.000,75.005
0.000,1.000,0.000,0.000,268.000,1491.000,2.000,75.494
0.000,1.000,0.000,0.000,270.000,1491.000,2.000,75.982
0.000,1.000,0.000,0.000,272.000,1491.000,2.000,76.471
0.000,1.000,0.000,0.000,272.000,1491.000,2.000,76.471
0.000,1.000,0.000,0.000,272.000,1491.000,2.000,76.471
0.000,1.000,0.000,0.000,272.000,1491.000,2.000,76.471
0.000,1.000,0.000,0.000,274.000,1491.000,2.000,76.960
0.000,1.000,0.000,0.000,275.000,1491.000,2.000,77.204
0.000,1.000,0.000,0.000,277.000,1491.000,2.000,77.693
0.000,1.000,0.000,0.000,280.000,1491.000,2.000,78.426
0.000,1.000,0.000,0.000,282.000,1491.000,2.000,78.915
0.000,1.000,0.000,0.000,284.000,1491.000,2.000,79.404
0.000,1.000,0.000,0.000,286.000,1491.000,2.000,79.892
0.000,1.000,0.000,0.000,287.000,1491.000,2.000,80.137
0.000,1.000,0.000,0.000,289.000,1491.000,2.000,80.626
0.000,1.000,0.000,0.000,289.000,1491.000,2.000,80.626
0.000,1.000,0.000,0.000,291.000,1491.000,2.000,81.114
0.000,1.000,0.000,0.000,293.000,1491.000,2.000,81.603
0.000,1.000,0.000,0.000,294.000,1491.000,2.000,81.848
0.000,1.000,0.000,0.000,296.000,1491.000,2.000,82.336
0.000,0.000,0.000,0.000,298.000,1491.000,2.000,82.825
0.000,0.000,0.000,0.000,300.000,1491.000,2.000,83.314
0.000,0.000,0.000,0.000,302.000,1491.000,2.000,83.803
0.000,0.000,0.000,0.000,303.000,1491.000,2.000,84.047
0.000,0.000,0.000,0.000,304.000,1491.000,2.000,84.291
0.000,0.000,0.000,0.000,305.000,1491.000,2.000,84.536
0.000,0.000,0.000,0.000,306.000,1491.000,2.000,84.780
0.000,0.000,0.000,0.000,308.000,1491.000,2.000,85.269
0.000,0.000,0.000,0.000,309.000,1491.000,2.000,85.513
0.000,0.000,0.000,0.000,310.000,1491.000,2.000,85.758
0.000,0.000,0.000,0.000,313.000,1491.000,2.000,86.491
